Timestamp,Temp_C,Poli_bar,Vbat_V,Brake,Dplus,RPM,Speed_kmh,Odo_km,PTrans_bar,TTrans_C,Cnt_Empty,Cnt_Loaded,HourMeter,Uptime_s,Alarm_Temp,Alarm_Poli,Alarm_Vbat
2026-05-18 15:10:26,0,0,0,0,0,0,0,0,0,0,0,0,8.7,74,0,1,1
2026-05-18 15:10:38,0,0,0,0,0,0,0,0,0,0,0,0,8.7,86,0,1,1
2026-05-18 15:10:49,0,0,0,0,0,0,0,0,0,0,0,0,8.7,97,0,1,1
2026-05-18 15:10:59,0,0,0,0,0,0,0,0,0,0,0,0,8.7,108,0,1,1
2026-05-18 15:11:04,0,0,0,0,0,0,0,0,0,0,0,0,8.7,113,0,1,1
2026-05-18 15:11:15,0,0,0,0,0,0,0,0,0,0,0,0,8.7,123,0,1,1
2026-05-18 15:11:25,0,0,0,0,0,0,0,0,0,0,0,0,8.7,134,0,1,1
2026-05-18 15:11:35,0,0,0,0,0,0,0,0,0,0,0,0,8.7,144,0,1,1
2026-05-18 15:11:46,0,0,0,0,0,0,0,0,0,0,0,0,8.7,155,0,1,1
2026-05-18 15:11:58,0,0,0,0,0,0,0,0,0,0,0,0,8.7,166,0,1,1
2026-05-18 15:12:08,0,0,0,0,0,0,0,0,0,0,0,0,8.7,177,0,1,1
2026-05-18 15:12:19,0,0,0,0,0,0,0,0,0,0,0,0,8.8,188,0,1,1
2026-05-18 15:12:31,0,0,0,0,0,0,0,0,0,0,0,0,8.8,200,0,1,1
2026-05-18 15:12:43,0,0,0,0,0,0,0,0,0,0,0,0,8.8,212,0,1,1
2026-05-18 15:12:54,0,0,0,0,0,0,0,0,0,0,0,0,8.8,222,0,1,1
2026-05-18 15:13:05,0,0,0,0,0,0,0,0,0,0,0,0,8.8,234,0,1,1
2026-05-18 15:13:17,0,0,0,0,0,0,0,0,0,0,0,0,8.8,245,0,1,1
2026-05-18 15:13:28,0,0,0,0,0,0,0,0,0,0,0,0,8.8,256,0,1,1
2026-05-18 15:13:39,0,0,0,0,0,0,0,0,0,0,0,0,8.8,268,0,1,1
2026-05-18 15:13:46,0,0,0,0,0,0,0,0,0,0,0,0,8.8,274,0,1,1
2026-05-18 15:13:57,0,0,0,0,0,0,0,0,0,0,0,0,8.8,285,0,1,1
2026-05-18 15:14:09,0,0,0,0,0,0,0,0,0,0,0,0,8.8,297,0,1,1
2026-05-18 15:14:20,0,0,0,0,0,0,0,0,0,0,0,0,8.8,309,0,1,1
2026-05-18 15:14:33,0,0,0,0,0,0,0,0,0,0,0,0,8.8,321,0,1,1
2026-05-18 15:14:47,0,0,0,0,0,0,0,0,0,0,0,0,8.8,335,0,1,1
2026-05-18 15:14:59,0,0,0,0,0,0,0,0,0,0,0,0,8.8,348,0,1,1
2026-05-18 15:15:12,0,0,0,0,0,0,0,0,0,0,0,0,8.8,360,0,1,1
2026-05-18 15:15:22,0,0,0,0,0,0,0,0,0,0,0,0,8.8,371,0,1,1
2026-05-18 15:15:34,0,0,0,0,0,0,0,0,0,0,0,0,8.8,383,0,1,1
2026-05-18 15:15:39,0,0,0,0,0,0,0,0,0,0,0,0,8.8,388,0,1,1
2026-05-18 15:15:49,0,0,0,0,0,0,0,0,0,0,0,0,8.8,398,0,1,1
2026-05-18 15:15:54,0,0,0,0,0,0,0,0,0,0,0,0,8.8,403,0,1,1
